parc;N2014;S;M;R;N2015;S;M;R;N2016;TxM1;TxR1;TxM2;TxR2;TxML1;TxML2
1;19;19;;1;20;19;1;4;23;0;5;5;17,39130435;5;13,04347826
2;22;22;;3;25;23;2;10;33;0;12;8;30,3030303;12;24,24242424
3;10;10;;1;11;10;1;7;17;0;9,090909091;9,090909091;41,17647059;9,090909091;35,29411765
4;9;8;1;3;11;10;2;2;12;11,11111111;27,27272727;18,18181818;16,66666667;18,18181818;8,333333333
5;11;11;;2;13;13;;12;25;0;15,38461538;0;48;15,38461538;48
6;14;14;;4;18;16;2;6;22;0;22,22222222;11,11111111;27,27272727;22,22222222;18,18181818
7;18;17;1;6;23;22;2;6;28;5,555555556;26,08695652;8,695652174;21,42857143;21,73913043;17,85714286
8;33;32;1;9;41;33;9;8;41;3,03030303;21,95121951;21,95121951;19,51219512;19,51219512;0
9;23;23;;14;37;37;;12;49;0;37,83783784;0;24,48979592;37,83783784;24,48979592
10;39;37;2;6;43;41;4;6;47;5,128205128;13,95348837;9,302325581;12,76595745;9,302325581;8,510638298
11;34;31;3;12;43;41;5;6;47;8,823529412;27,90697674;11,62790698;12,76595745;20,93023256;8,510638298
12;14;14;;3;17;14;3;8;22;0;17,64705882;17,64705882;36,36363636;17,64705882;22,72727273
13;35;32;3;6;38;32;9;8;40;8,571428571;15,78947368;23,68421053;20;7,894736842;5
14;6;6;;1;7;7;;7;14;0;14,28571429;0;50;14,28571429;50
15;23;22;1;9;31;26;6;7;33;4,347826087;29,03225806;19,35483871;21,21212121;25,80645161;6,060606061
16;10;10;;2;12;12;;8;20;0;16,66666667;0;40;16,66666667;40
17;15;15;;3;18;18;;2;20;0;16,66666667;0;10;16,66666667;10
18;17;17;;1;18;18;;5;23;0;5,555555556;0;21,73913043;5,555555556;21,73913043
19;9;9;;7;16;16;;6;22;0;43,75;0;27,27272727;43,75;27,27272727
20;19;19;;3;22;22;;;22;0;13,63636364;0;0;13,63636364;0
21;17;15;2;9;24;23;3;5;28;11,76470588;37,5;12,5;17,85714286;29,16666667;14,28571429
22;19;19;;6;25;24;1;2;26;0;24;4;7,692307692;24;3,846153846
23;25;23;2;1;24;24;2;;24;8;4,166666667;8,333333333;0;-4,166666667;0
24;20;19;1;2;21;21;1;6;27;5;9,523809524;4,761904762;22,22222222;4,761904762;22,22222222
25;18;13;5;10;23;20;8;6;26;27,77777778;43,47826087;34,7826087;23,07692308;21,73913043;11,53846154
26;22;11;11;13;24;16;19;8;24;50;54,16666667;79,16666667;33,33333333;8,333333333;0
27;16;16;;8;24;14;10;6;20;0;33,33333333;41,66666667;30;33,33333333;-20
28;25;18;7;14;32;23;16;6;29;28;43,75;50;20,68965517;21,875;-10,34482759
29;11;9;2;18;27;22;7;5;27;18,18181818;66,66666667;25,92592593;18,51851852;59,25925926;0
30;10;9;1;10;19;14;6;7;21;10;52,63157895;31,57894737;33,33333333;47,36842105;9,523809524
31;20;14;6;21;35;24;17;8;32;30;60;48,57142857;25;42,85714286;-9,375
32;24;19;5;10;29;22;12;7;29;20,83333333;34,48275862;41,37931034;24,13793103;17,24137931;0
33;10;10;;13;23;20;3;4;24;0;56,52173913;13,04347826;16,66666667;56,52173913;4,166666667
34;12;12;;35;47;37;10;17;54;0;74,46808511;21,27659574;31,48148148;74,46808511;12,96296296
35;11;10;1;9;19;17;3;2;19;9,090909091;47,36842105;15,78947368;10,52631579;42,10526316;0
36;32;28;4;7;35;32;7;5;37;12,5;20;20;13,51351351;8,571428571;5,405405405
37;15;15;;7;22;19;3;7;26;0;31,81818182;13,63636364;26,92307692;31,81818182;15,38461538
38;36;33;3;4;37;35;5;3;38;8,333333333;10,81081081;13,51351351;7,894736842;2,702702703;2,631578947
39;17;16;1;5;21;19;3;5;24;5,882352941;23,80952381;14,28571429;20,83333333;19,04761905;12,5
40;19;17;2;4;21;20;3;;20;10,52631579;19,04761905;14,28571429;0;9,523809524;-5
41;0;;;;0;;;10;10;;;;100;;100
42;0;;;;0;;;18;18;;;;100;;100
44;0;;;;0;;;1;1;;;;100;;100
45;0;;;1;1;1;;1;2;;100;0;50;100;50
56;0;;;;0;;;1;1;;;;100;;100
58;2;2;;;2;2;;19;21;0;0;0;90,47619048;0;90,47619048
60;0;;;;0;;;1;1;;;;100;;100
